1,
06:00,01:12:47,sutta-satipattana-480p.mp4
07:12,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
07:13, 00:45:58,sutta-pirith-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-sin-19-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-eng-16-480p.mp4
08:00, 01:13:22,sermon-sinhala-6461-2017-08-07-gampaha-mahanama-thero-madagama-480p.mp4
09:13,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
09:14,00:05:21,fillers-teasers-trailer-manel-watta-5-21-480p.mp4
09:19,00:10:56,dhammapada-sinhala-1009-4-kotagoda-sudeera-thera.dv-480p.mp4
09:30, 00:37:17,sermon-sinhala-6516-2017-10-20-alubomulle-dhammalankara-thero-nawala-480p.mp4
10:07,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
10:08,00:22:16,dhammapada-sinhala-4226-02-kihibiye-vijitha-thera-480p.mp4
10:30, 01:02:58,sermon-sinhala-6476-2017-09-11-mirisse-dhammika-thero-nawala-480p.mp4
11:33,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
11:34,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
11:35,00:21:09,sermon-sinhala-4289-01-gampaha-pasadka-thera-480p.mp4
11:56,00:21:09,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
12:17, 00:51:13,sermon-sinhala-6379-2017-06-20-balangoda-sobitha-thero-dematagoda-480p.mp4
13:08,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
13:09,00:02:10,fillers-teasers-trailer-nawam-perahara-10-2-10-480p.mp4
13:11,00:03:49,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
13:15, 00:02:10,fillers-wesak-nelagiri-thawawa-2017-480p.mp4
13:17, 00:57:41,sermon-sinhala-6479-2017-09-14-agalakada-sirisumana-thero-nawala-480p.mp4
14:15,00:00:31,fillers-inspiration-ins-eng-03-480p.mp4
14:15,00:01:33,fillers-teasers-trailer-paragoda-1-33-480p.mp4
14:17, 01:02:18,sermon-sinhala-6517-2017-10-21-kothmale-dinnaga-thero-nawala-480p.mp4
15:19,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
15:20,00:02:33,fillers-teasers-wesak-2012-03-02-33-480p.mp4
15:22,00:00:36,fillers-teasers-trailer-36-480p.mp4
15:23,01:16:22,bhavana-sinhala-1212-kiribathgoda-ganananda-thera-480p.mp4
16:39,00:06:54,dhammapada-english-1399-4-06-54-dhammavihari-thera-480p.mp4
16:46, 00:48:38,sermon-sinhala-6493-2017-09-28-galigamuwe-gnanadeepa-thero-nawala-480p.mp4
17:35,00:10:29,dhammapada-sinhala-1056-1-kotagoda-sudeera-thera-480p.mp4
17:45,00:01:04,fillers-teasers-trailer-nawam-perahara-21-1-04-480p.mp4
17:46, 00:49:46,sermon-sinhala-6499-2017-10-04-alikewala-seelananda-thero-nawala-480p.mp4
18:36,00:00:31,fillers-inspiration-ins-eng-09-480p.mp4
18:37, 00:10:25,fillers-teasers-magul-maha-vihara-muhudu-maha-vihara-sinhala-480p.mp4
